date,open,high,low,close,volume,average,barCount,daily_sentiment_mean,daily_sentiment_max,daily_sentiment_std
2023-08-04,4695.5,4716.75,4516.25,4572.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,
2023-08-07,4671.75,4696.5,4531.0,4696.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-08,4665.25,4715.5,4638.0,4671.75,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-09,4673.75,4676.0,4633.0,4660.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-10,4662.25,4698.75,4662.0,4668.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-11,4620.25,4635.25,4614.5,4630.75,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-14,4617.25,4637.5,4616.0,4637.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-15,4632.25,4698.5,4599.75,4692.75,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-16,4600.5,4695.5,4600.0,4602.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-17,4585.75,4588.0,4527.25,4527.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-18,4503.75,4657.5,4500.25,4657.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-21,4544.25,4569.25,4527.0,4560.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-22,4579.75,4579.75,4549.5,4552.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-23,4559.75,4624.75,4559.75,4624.75,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-24,4613.5,4661.5,4549.25,4660.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-25,4665.0,4672.5,4517.5,4650.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-28,4588.25,4689.5,4568.5,4594.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-29,4557.75,4712.5,4557.75,4656.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-30,4661.0,4678.0,4653.25,4677.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-08-31,4677.25,4691.25,4598.5,4671.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-01,4650.0,4711.75,4592.25,4650.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-05,4671.0,4731.0,4585.0,4650.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-06,4646.75,4718.0,4565.25,4650.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-07,4590.25,4677.25,4557.5,4625.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-08,4625.0,4685.25,4560.25,4625.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-11,4643.75,4651.25,4626.0,4644.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-12,4632.0,4682.25,4570.5,4617.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-13,4621.0,4683.5,4558.25,4636.75,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-14,4647.75,4700.5,4634.5,4700.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-15,4641.25,4644.75,4553.75,4582.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-18,4599.75,4619.75,4581.0,4607.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-19,4595.25,4601.25,4550.25,4600.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-20,4608.75,4612.25,4548.5,4597.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-21,4519.0,4521.75,4447.25,4465.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-22,4484.5,4504.25,4453.0,4504.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-25,4449.0,4523.0,4444.25,4504.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-26,4446.75,4454.75,4388.75,4390.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-27,4425.75,4431.5,4376.75,4422.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-28,4407.0,4456.5,4387.25,4440.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-09-29,4470.25,4471.5,4410.75,4432.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-02,4417.5,4453.5,4394.75,4425.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-03,4400.5,4420.75,4323.0,4330.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-04,4367.5,4401.75,4327.5,4383.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-05,4388.5,4398.5,4354.75,4393.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-06,4363.5,4458.75,4349.5,4412.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-09,4420.0,4475.25,4414.75,4459.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-10,4476.25,4519.75,4417.0,4496.25,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-11,4503.25,4519.75,4412.5,4430.75,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-12,4515.75,4519.25,4455.75,4461.0,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
2023-10-13,4495.75,4508.0,4440.0,4449.5,-1.0,-1.0,-1,-0.9698469638824463,-0.9698469638824463,0.0
